year,month,revenue,date
2020,1,91685768.65,2020-01-01
2020,2,95584388.15,2020-02-01
2020,3,100419806.85,2020-03-01
2020,4,103322794.61,2020-04-01
2020,5,94784746.43,2020-05-01
2020,6,75193749.25,2020-06-01
2020,7,65997151.36,2020-07-01
2020,8,54359267.83,2020-08-01
2020,9,49627950.55,2020-09-01
2020,10,52750078.11,2020-10-01
2020,11,60114444.29,2020-11-01
2020,12,78915966.52,2020-12-01
2021,1,89689497.38,2021-01-01
2021,2,92311453.5,2021-02-01
2021,3,105060628.72,2021-03-01
2021,4,100121701.0,2021-04-01
2021,5,92238226.82,2021-05-01
2021,6,78818741.86,2021-06-01
2021,7,65260587.85,2021-07-01
2021,8,53232867.28,2021-08-01
2021,9,48792369.61,2021-09-01
2021,10,54699811.47,2021-10-01
2021,11,62590600.45,2021-11-01
2021,12,76643327.0,2021-12-01
2022,1,57787513.83,2022-01-01
2022,2,56672444.31,2022-02-01
2022,3,66191834.76,2022-03-01
2022,4,60110619.34,2022-04-01
2022,5,54559574.51,2022-05-01
2022,6,45508382.26,2022-06-01
2022,7,39616593.89,2022-07-01
2022,8,34921864.36,2022-08-01
2022,9,31238343.66,2022-09-01
2022,10,33905291.14,2022-10-01
2022,11,39305370.5,2022-11-01
2022,12,47163139.49,2022-12-01
2023,1,56179255.47,2023-01-01
2023,2,57323379.47,2023-02-01
2023,3,66380008.14,2023-03-01
2023,4,62080671.36,2023-04-01
2023,5,56354288.88,2023-05-01
2023,6,49901149.86,2023-06-01
2023,7,40509672.05,2023-07-01
2023,8,33941499.08,2023-08-01
2023,9,30354369.1,2023-09-01
2023,10,33990744.55,2023-10-01
2023,11,39875002.93,2023-11-01
2023,12,48310299.94,2023-12-01
2024,1,59272334.24,2024-01-01
2024,2,61188223.92,2024-02-01
2024,3,63592058.56,2024-03-01
2024,4,61985877.94,2024-04-01
2024,5,55519777.89,2024-05-01
2024,6,46924180.18,2024-06-01
2024,7,40074333.0,2024-07-01
2024,8,33857629.27,2024-08-01
2024,9,31058085.35,2024-09-01
2024,10,34598097.31,2024-10-01
2024,11,38608138.87,2024-11-01
2024,12,47280618.82,2024-12-01
2025,1,58204871.77,2025-01-01
2025,2,57359345.25,2025-02-01
2025,3,64797123.04,2025-03-01
2025,4,60706276.11,2025-04-01
2025,5,56582125.01,2025-05-01
2025,6,47679994.83,2025-06-01
2025,7,40453815.57,2025-07-01
2025,8,33100318.05,2025-08-01
2025,9,30751666.13,2025-09-01
2025,10,33754311.03,2025-10-01
2025,11,38788889.32,2025-11-01
2025,12,47119346.4,2025-12-01
