year,region,revenue
2020,Africa,113577377.76
2020,East Asia,116469279.04
2020,Europe,114839618.05
2020,Middle East,117534524.71
2020,North America,115587411.07
2020,Oceania,114580806.61
2020,South America,116590716.47
2020,South Asia,113576378.89
2021,Africa,114872342.62
2021,East Asia,116688665.9
2021,Europe,116659029.74
2021,Middle East,113285793.51
2021,North America,114819606.87
2021,Oceania,113653312.84
2021,South America,117825218.62
2021,South Asia,111655842.84
2022,Africa,70111636.1
2022,East Asia,72556933.59
2022,Europe,70494132.41
2022,Middle East,70710587.22
2022,North America,70614707.33
2022,Oceania,71445052.19
2022,South America,68877158.55
2022,South Asia,72170764.66
2023,Africa,72713770.67
2023,East Asia,71737423.15
2023,Europe,73066590.63
2023,Middle East,70789051.53
2023,North America,72461954.85
2023,Oceania,72315704.92
2023,South America,70371275.15
2023,South Asia,71744569.93
2024,Africa,69431434.06
2024,East Asia,72092046.89
2024,Europe,72410697.4
2024,Middle East,71066261.31
2024,North America,70735639.42
2024,Oceania,72551853.12
2024,South America,73169313.35
2024,South Asia,72502109.8
2025,Africa,72133752.31
2025,East Asia,69726924.91
2025,Europe,68886227.09
2025,Middle East,72294830.44
2025,North America,70966980.18
2025,Oceania,71028942.95
2025,South America,72053739.0
2025,South Asia,72206685.63
